Date,Open,High,Low,Close,Adj Close,Volume
1980-06-09,4.379625,4.379625,4.278446,4.278446,0.898149,113200
1980-06-10,4.278446,4.379625,4.278446,4.350717,0.913321,154700
1980-06-11,4.350717,4.379625,4.336263,4.365171,0.916355,411600
1980-06-12,4.365171,4.394080,4.336263,4.394080,0.922424,173800
1980-06-13,4.408534,4.538621,4.408534,4.509713,0.946698,61400
1980-06-16,4.509713,4.639801,4.495259,4.610893,0.967938,236900
1980-06-17,4.610893,4.625347,4.553076,4.581984,0.961869,119300
1980-06-18,4.581984,4.596438,4.509713,4.538621,0.952767,50100
1980-06-19,4.538621,4.581984,4.509713,4.524168,0.949732,46600
1980-06-20,4.495259,4.495259,4.437442,4.451896,0.934561,94200
1980-06-23,4.466351,4.553076,4.466351,4.466351,0.937596,318200
1980-06-24,4.466351,4.480805,4.379625,4.451896,0.934561,535300
1980-06-25,4.451896,4.610893,4.437442,4.567530,0.958835,326800
1980-06-26,4.567530,4.610893,4.509713,4.581984,0.961869,259400
1980-06-27,4.581984,4.712072,4.581984,4.654255,0.977041,201400
1980-06-30,4.596438,4.596438,4.480805,4.480805,0.940629,671900
1980-07-01,4.480805,4.495259,4.451896,4.480805,0.940629,236900
1980-07-02,4.480805,4.567530,4.466351,4.567530,0.958835,195400
1980-07-03,4.625347,4.827706,4.625347,4.798798,1.007384,223900
1980-07-07,4.798798,4.914431,4.798798,4.914431,1.031659,522300
1980-07-08,4.914431,4.943339,4.914431,4.943339,1.037727,170300
1980-07-09,4.943339,4.943339,4.899977,4.899977,1.028624,291400
1980-07-10,4.899977,4.914431,4.784343,4.813251,1.010418,130500
1980-07-11,4.827706,4.899977,4.827706,4.856614,1.019521,274100
1980-07-14,4.856614,4.914431,4.813251,4.914431,1.031659,212700
1980-07-15,5.001156,5.145699,5.001156,5.131244,1.077173,525700
1980-07-16,5.131244,5.160152,5.087882,5.116790,1.074139,205800
1980-07-17,5.073427,5.073427,5.058973,5.073427,1.065036,283600
1980-07-18,5.073427,5.102336,4.943339,5.015611,1.052899,311300
1980-07-21,5.015611,5.044519,4.972248,5.030065,1.055932,166900
1980-07-22,5.030065,5.087882,5.001156,5.015611,1.052899,307000
1980-07-23,5.015611,5.044519,4.957794,5.001156,1.049865,153000
1980-07-24,5.001156,5.015611,4.740981,4.740981,0.995247,236000
1980-07-25,4.712072,4.712072,4.625347,4.668710,0.980076,513600
1980-07-28,4.668710,4.769889,4.596438,4.769889,1.001316,586300
1980-07-29,4.928885,5.001156,4.928885,5.001156,1.049865,370900
1980-07-30,5.001156,5.116790,4.986702,5.001156,1.049865,764400
1980-07-31,5.001156,5.203515,4.957794,5.203515,1.092344,302600
1980-08-01,5.203515,5.261332,5.160152,5.246878,1.101448,350200
1980-08-04,5.246878,5.261332,5.145699,5.145699,1.080207,645100
1980-08-05,5.145699,5.145699,5.087882,5.102336,1.071104,197100
1980-08-06,5.087882,5.087882,5.030065,5.044519,1.058967,240400
1980-08-07,5.058973,5.145699,5.058973,5.145699,1.080207,376100
1980-08-08,5.217969,5.290240,5.217969,5.217969,1.095379,836200
1980-08-11,5.203515,5.203515,5.102336,5.174607,1.086275,837900
1980-08-12,5.174607,5.261332,5.145699,5.174607,1.086275,287900
1980-08-13,5.174607,5.232424,5.131244,5.232424,1.098413,380500
1980-08-14,5.232424,5.405874,5.232424,5.405874,1.134825,443600
1980-08-15,5.507054,5.550416,5.507054,5.521508,1.159098,616600
1980-08-18,5.492599,5.492599,5.420329,5.434783,1.140892,971100
1980-08-19,5.420329,5.420329,5.362512,5.376966,1.128756,523200
1980-08-20,5.376966,5.449237,5.319149,5.449237,1.143927,112400
1980-08-21,5.463691,5.579325,5.463691,5.550416,1.165167,541300
