Date,Open,High,Low,Close,Adj Close,Volume
2010-03-09,74.019997,74.019997,74.019997,74.019997,74.019997,0
2010-03-10,73.949997,73.949997,73.949997,73.949997,73.949997,0
2010-03-11,73.949997,73.949997,73.949997,73.949997,73.949997,0
2010-03-12,73.750000,73.750000,73.750000,73.750000,73.750000,0
2010-03-15,73.860001,73.860001,73.860001,73.860001,73.860001,20
2010-03-16,73.900002,73.900002,73.900002,73.900002,73.900002,35
2010-03-17,73.900002,73.900002,73.900002,73.900002,73.900002,35
2010-03-18,73.900002,73.900002,73.900002,73.900002,73.900002,35
2010-03-19,73.900002,73.900002,73.900002,73.900002,73.900002,35
2010-03-22,75.580002,75.930000,75.580002,75.580002,75.580002,0
2010-03-23,75.830002,76.089996,75.830002,75.830002,75.830002,0
2010-03-24,76.989998,77.260002,76.989998,76.989998,76.989998,0
2010-03-25,77.620003,78.129997,77.620003,77.620003,77.620003,0
2010-03-26,73.900002,76.949997,73.900002,73.900002,73.900002,0
2010-03-29,76.930000,76.930000,76.930000,76.930000,76.930000,0
2010-03-30,76.910004,76.910004,76.910004,76.910004,76.910004,0
2010-03-31,77.169998,77.169998,77.169998,77.169998,77.169998,10
2010-04-01,76.440002,76.440002,76.440002,76.440002,76.440002,0
2010-04-06,77.820000,77.820000,77.820000,77.820000,77.820000,0
2010-04-07,78.180000,78.180000,78.180000,78.180000,78.180000,0
2010-04-08,77.739998,77.739998,77.739998,77.739998,77.739998,0
2010-04-09,77.570000,77.570000,77.570000,77.570000,77.570000,0
2010-04-12,77.290001,77.290001,77.290001,77.290001,77.290001,0
2010-04-13,77.510002,77.510002,77.510002,77.510002,77.510002,0
2010-04-14,77.900002,77.900002,77.900002,77.900002,77.900002,0
2010-04-15,79.139999,79.139999,79.139999,79.139999,79.139999,0
2010-04-16,78.870003,78.870003,78.870003,78.870003,78.870003,0
2010-04-19,78.419998,78.419998,78.419998,78.419998,78.419998,0
2010-04-20,79.110001,79.110001,79.110001,79.110001,79.110001,0
2010-04-21,79.849998,79.849998,79.849998,79.849998,79.849998,0
2010-04-22,79.949997,79.949997,79.949997,79.949997,79.949997,0
2010-04-23,80.510002,80.510002,80.510002,80.510002,80.510002,0
2010-04-26,81.089996,81.089996,81.089996,81.089996,81.089996,0
2010-04-27,80.489998,80.489998,80.489998,80.489998,80.489998,0
2010-04-28,80.040001,80.040001,80.040001,80.040001,80.040001,0
2010-04-29,81.110001,81.110001,81.110001,81.110001,81.110001,0
2010-04-30,80.589996,80.589996,80.589996,80.589996,80.589996,0
2010-05-03,80.139999,80.139999,80.139999,80.139999,80.139999,30
2010-05-04,80.029999,80.029999,80.029999,80.029999,80.029999,930
2010-05-05,80.430000,80.430000,80.430000,80.430000,80.430000,0
2010-05-06,80.570000,80.570000,80.570000,80.570000,80.570000,0
2010-05-07,77.550003,77.550003,77.550003,77.550003,77.550003,0
2010-05-10,79.430000,79.430000,79.430000,79.430000,79.430000,0
2010-05-11,80.809998,80.809998,80.809998,80.809998,80.809998,0
2010-05-12,81.830002,81.830002,81.830002,81.830002,81.830002,0
