Date,Open,High,Low,Close,Adj Close,Volume
1982-03-15,3.799132,3.856261,3.742002,3.799132,1.066750,99700
1982-03-16,3.856261,3.941956,3.742002,3.827697,1.074771,128200
1982-03-17,3.884826,3.913391,3.856261,3.884826,1.090813,59000
1982-03-18,4.027651,4.113346,3.913391,4.113346,1.154978,208200
1982-03-19,4.170475,4.227605,4.084781,4.113346,1.154978,141700
1982-03-22,4.113346,4.170475,4.056216,4.113346,1.154978,111100
1982-03-23,4.141911,4.227605,4.027651,4.141911,1.162999,195100
1982-03-24,3.999086,4.141911,3.827697,3.913391,1.098833,215200
1982-03-25,3.913391,3.999086,3.827697,3.970521,1.114875,217900
1982-03-26,3.913391,3.970521,3.856261,3.913391,1.098833,152700
1982-03-29,3.827697,3.884826,3.770567,3.799132,1.066750,192900
1982-03-30,3.856261,3.913391,3.770567,3.884826,1.090813,141700
1982-03-31,3.970521,4.056216,3.884826,4.027651,1.130915,168900
1982-04-01,4.027651,4.056216,3.970521,4.027651,1.130915,132100
1982-04-02,4.141911,4.227605,4.056216,4.170475,1.171019,391600
1982-04-05,4.227605,4.284735,4.141911,4.170475,1.171019,227500
1982-04-06,4.199040,4.227605,4.141911,4.170475,1.171019,261200
1982-04-07,4.227605,4.284735,4.141911,4.170475,1.171019,227500
1982-04-08,4.170475,4.227605,4.113346,4.141911,1.162999,862900
1982-04-12,4.027651,4.170475,3.856261,3.970521,1.114875,202100
1982-04-13,3.884826,3.970521,3.770567,3.884826,1.090813,326400
1982-04-14,3.856261,3.941956,3.770567,3.827697,1.074771,198200
1982-04-15,3.770567,3.827697,3.713437,3.799132,1.066750,581500
1982-04-16,3.799132,3.856261,3.742002,3.827697,1.074771,312800
1982-04-19,3.770567,3.827697,3.684872,3.713437,1.042688,354000
1982-04-20,3.713437,3.742002,3.656307,3.713437,1.042688,259400
1982-04-21,3.684872,3.713437,3.656307,3.684872,1.034667,259900
1982-04-22,3.770567,3.884826,3.627742,3.884826,1.090813,407400
1982-04-23,3.970521,4.027651,3.913391,4.027651,1.130915,405600
1982-04-26,4.170475,4.256170,4.056216,4.227605,1.187060,288300
1982-04-27,4.256170,4.341865,4.170475,4.313300,1.211123,635800
1982-04-28,4.484689,4.656079,4.313300,4.656079,1.307370,543000
1982-04-29,4.513254,4.598949,4.398994,4.398994,1.235184,804700
1982-04-30,4.456124,4.541819,4.370430,4.484689,1.259246,321600
1982-05-03,4.484689,4.541819,4.427559,4.513254,1.267267,143500
1982-05-04,4.456124,4.513254,4.370430,4.370430,1.227164,200400
1982-05-05,4.370430,4.427559,4.284735,4.313300,1.211123,135200
1982-05-06,4.370430,4.398994,4.313300,4.370430,1.232387,74800
1982-05-07,4.484689,4.541819,4.427559,4.541819,1.280715,242400
1982-05-10,4.627514,4.684644,4.570384,4.656079,1.312934,355700
1982-05-11,4.770338,4.913163,4.627514,4.884598,1.377374,515900
1982-05-12,4.884598,4.970293,4.798903,4.941728,1.393483,569300
1982-05-13,4.941728,4.970293,4.884598,4.913163,1.385428,299300
1982-05-14,4.913163,4.941728,4.884598,4.913163,1.385428,206900
1982-05-17,4.798903,4.913163,4.656079,4.713208,1.329045,169700
1982-05-18,4.627514,4.684644,4.570384,4.656079,1.312934,147000
1982-05-19,4.713208,4.798903,4.598949,4.684644,1.320989,200400
1982-05-20,4.627514,4.656079,4.570384,4.570384,1.288770,86200
1982-05-21,4.570384,4.627514,4.484689,4.513254,1.272661,139500
1982-05-24,4.627514,4.656079,4.570384,4.570384,1.288770,86200
1982-05-25,4.656079,4.684644,4.598949,4.627514,1.304880,129000
1982-05-26,4.541819,4.598949,4.456124,4.484689,1.264606,104500
1982-05-27,4.427559,4.456124,4.370430,4.398994,1.240441,114600
1982-05-28,4.456124,4.513254,4.370430,4.427559,1.248497,143500
1982-06-01,4.427559,4.456124,4.370430,4.456124,1.256551,88800
1982-06-02,4.484689,4.570384,4.398994,4.570384,1.288770,81300
1982-06-03,4.570384,4.627514,4.513254,4.541819,1.280715,291000
1982-06-04,4.541819,4.598949,4.484689,4.513254,1.272661,265600
1982-06-07,4.484689,4.513254,4.427559,4.484689,1.264606,106300
1982-06-08,4.484689,4.513254,4.427559,4.456124,1.256551,72200
1982-06-09,4.398994,4.456124,4.341865,4.341865,1.224332,117200
1982-06-10,4.284735,4.313300,4.227605,4.256170,1.200167,102800
1982-06-11,4.284735,4.427559,4.284735,4.398994,1.240441,117200
1982-06-14,4.398994,4.427559,4.341865,4.341865,1.224332,158400
1982-06-15,4.313300,4.341865,4.284735,4.313300,1.216278,115900
1982-06-16,4.256170,4.341865,4.170475,4.227605,1.192113,95300
1982-06-17,4.027651,4.113346,3.941956,3.941956,1.111564,104100
1982-06-18,3.856261,3.941956,3.770567,3.770567,1.063236,189400
1982-06-21,3.827697,3.884826,3.770567,3.770567,1.063236,185900
1982-06-22,3.799132,3.856261,3.713437,3.799132,1.071290,87900
1982-06-23,3.856261,3.913391,3.770567,3.913391,1.103509,182000
1982-06-24,3.913391,3.970521,3.827697,3.970521,1.119619,210900
1982-06-25,3.999086,4.027651,3.941956,3.941956,1.111564,95300
1982-06-28,3.970521,3.999086,3.941956,3.999086,1.127674,78300
1982-06-29,3.913391,3.970521,3.827697,3.827697,1.079345,72600
1982-06-30,3.770567,3.856261,3.656307,3.684872,1.039071,329900
1982-07-01,3.656307,3.684872,3.599177,3.599177,1.014907,168900
1982-07-02,3.627742,3.656307,3.570612,3.599177,1.014907,192100
1982-07-06,3.627742,3.627742,3.599177,3.627742,1.022962,94000
1982-07-07,3.627742,3.656307,3.599177,3.599177,1.014907,105400
1982-07-08,3.599177,3.656307,3.542048,3.656307,1.031016,186400
1982-07-09,3.684872,3.742002,3.627742,3.656307,1.031016,291000
1982-07-12,3.570612,3.656307,3.484918,3.513483,0.990743,157500
1982-07-13,3.427788,3.513483,3.342093,3.399223,0.958523,455900
1982-07-14,3.399223,3.427788,3.342093,3.399223,0.958523,186800
1982-07-15,3.456353,3.484918,3.427788,3.456353,0.974633,220100
1982-07-16,3.456353,3.484918,3.399223,3.427788,0.966578,150500
1982-07-19,3.484918,3.513483,3.427788,3.456353,0.974633,94500
1982-07-20,3.456353,3.513483,3.399223,3.427788,0.966578,137800
1982-07-21,3.484918,3.513483,3.427788,3.456353,0.974633,154400
1982-07-22,3.599177,3.742002,3.456353,3.713437,1.047126,208700
1982-07-23,3.770567,3.827697,3.684872,3.713437,1.047126,125500
1982-07-26,3.713437,3.742002,3.656307,3.684872,1.039071,84800
1982-07-27,3.627742,3.713437,3.542048,3.570612,1.006851,177600
1982-07-28,3.484918,3.542048,3.427788,3.456353,0.974633,153500
1982-07-29,3.456353,3.484918,3.399223,3.456353,0.974633,112000
1982-07-30,3.456353,3.484918,3.399223,3.427788,0.966578,89700
1982-08-02,3.456353,3.484918,3.399223,3.456353,0.974633,289600
1982-08-03,3.542048,3.570612,3.484918,3.513483,0.990743,160100
1982-08-04,3.399223,3.456353,3.342093,3.370658,0.950468,169700
1982-08-05,3.342093,3.399223,3.256398,3.313528,0.934359,245000
1982-08-06,3.342093,3.370658,3.284963,3.313528,0.939542,162300
1982-08-09,3.227834,3.256398,3.170704,3.227834,0.915243,139100
1982-08-10,3.227834,3.284963,3.170704,3.170704,0.899045,123400
1982-08-11,3.199269,3.227834,3.142139,3.170704,0.899045,126000
1982-08-12,3.170704,3.227834,3.085009,3.142139,0.890944,178100
1982-08-13,3.113574,3.142139,3.085009,3.113574,0.882845,105800
1982-08-16,3.113574,3.142139,3.085009,3.085009,0.874746,77000
1982-08-17,3.227834,3.313528,3.113574,3.313528,0.939542,156200
1982-08-18,3.399223,3.484918,3.284963,3.313528,0.939542,207800
1982-08-19,3.313528,3.427788,3.199269,3.256398,0.923343,189000
1982-08-20,3.284963,3.342093,3.199269,3.342093,0.947641,88800
1982-08-23,3.342093,3.427788,3.256398,3.342093,0.947641,170600
1982-08-24,3.399223,3.484918,3.284963,3.484918,0.988139,254600
1982-08-25,3.713437,3.970521,3.427788,3.884826,1.101532,522000
1982-08-26,4.170475,4.398994,3.941956,4.199040,1.190626,800800
1982-08-27,4.113346,4.227605,3.999086,4.027651,1.142029,242400
1982-08-30,3.884826,3.970521,3.799132,3.884826,1.101532,138700
1982-08-31,3.827697,3.884826,3.770567,3.827697,1.085333,108000
1982-09-01,3.827697,3.884826,3.770567,3.770567,1.069134,96700
1982-09-02,3.827697,3.884826,3.770567,3.884826,1.101532,235400
1982-09-03,3.941956,3.999086,3.884826,3.913391,1.109630,378900
1982-09-07,3.913391,3.941956,3.856261,3.884826,1.101532,109400
1982-09-08,3.999086,4.141911,3.827697,4.113346,1.166328,499700
1982-09-09,4.170475,4.256170,4.056216,4.227605,1.198726,632300
1982-09-10,4.170475,4.227605,4.113346,4.170475,1.182527,451100
1982-09-13,4.113346,4.170475,4.027651,4.056216,1.150128,89200
1982-09-14,4.084781,4.170475,3.999086,4.170475,1.182527,247600
1982-09-15,4.056216,4.113346,3.999086,4.056216,1.150128,131700
1982-09-16,4.113346,4.141911,4.056216,4.113346,1.166328,157000
1982-09-17,4.084781,4.113346,4.027651,4.056216,1.150128,121200
1982-09-20,3.999086,4.056216,3.913391,3.999086,1.133930,100200
1982-09-21,4.084781,4.141911,3.999086,4.113346,1.166328,179800
1982-09-22,4.084781,4.199040,3.941956,3.941956,1.117731,201700
1982-09-23,4.027651,4.113346,3.941956,4.056216,1.150128,234100
1982-09-24,4.113346,4.170475,4.056216,4.141911,1.174427,336500
1982-09-27,4.199040,4.284735,4.084781,4.284735,1.214924,142200
